Система нелінійних рівнянь:
  f₁(x₁,x₂) = x₁² + x₂² - 4 = 0
  f₂(x₁,x₂) = x₁·x₂ - 1 = 0

Цільова функція:
  Φ(x₁,x₂) = f₁² + f₂²

Параметри методу:
  X⁰ = (2.0, 1.0)
  ΔX = (0.1, 0.1)
  ε₁ = 1e-06
  ε₂ = 1e-06
  q = 2.0
  p = 2.0

ТРАЄКТОРІЯ СПУСКУ:
----------------------------------------------------------------------
№ кроку    x₁                   x₂                   Φ(X)                
332        1.9318516526         0.5176380902         1.23e-32            
333        1.9318516526         0.5176380902         1.23e-32            
334        1.9318516526         0.5176380902         1.23e-32            
335        1.9318516526         0.5176380902         1.23e-32            
336        1.9318516526         0.5176380902         1.23e-32            
337        1.9318516526         0.5176380902         1.23e-32            
338        1.9318516526         0.5176380902         1.23e-32            
339        1.9318516526         0.5176380902         1.23e-32            
340        1.9318516526         0.5176380902         1.23e-32            
341        1.9318516526         0.5176380902         1.23e-32            
342        1.9318516526         0.5176380902         1.23e-32            
343        1.9318516526         0.5176380902         1.23e-32            
344        1.9318516526         0.5176380902         1.23e-32            
345        1.9318516526         0.5176380902         1.23e-32            
346        1.9318516526         0.5176380902         1.23e-32            
347        1.9318516526         0.5176380902         1.23e-32            
348        1.9318516526         0.5176380902         1.23e-32            
349        1.9318516526         0.5176380902         1.23e-32            
350        1.9318516526         0.5176380902         1.23e-32            
351        1.9318516526         0.5176380902         1.23e-32            
352        1.9318516526         0.5176380902         1.23e-32            
353        1.9318516526         0.5176380902         1.23e-32            
354        1.9318516526         0.5176380902         1.23e-32            
355        1.9318516526         0.5176380902         1.23e-32            
356        1.9318516526         0.5176380902         1.23e-32            
357        1.9318516526         0.5176380902         1.23e-32            
358        1.9318516526         0.5176380902         1.23e-32            
359        1.9318516526         0.5176380902         1.23e-32            
360        1.9318516526         0.5176380902         1.23e-32            
361        1.9318516526         0.5176380902         1.23e-32            
362        1.9318516526         0.5176380902         1.23e-32            
363        1.9318516526         0.5176380902         1.23e-32            
364        1.9318516526         0.5176380902         1.23e-32            
365        1.9318516526         0.5176380902         1.23e-32            
366        1.9318516526         0.5176380902         1.23e-32            
367        1.9318516526         0.5176380902         1.23e-32            
368        1.9318516526         0.5176380902         1.23e-32            
369        1.9318516526         0.5176380902         1.23e-32            
370        1.9318516526         0.5176380902         1.23e-32            
371        1.9318516526         0.5176380902         1.23e-32            
372        1.9318516526         0.5176380902         1.23e-32            
373        1.9318516526         0.5176380902         1.23e-32            
374        1.9318516526         0.5176380902         1.23e-32            
375        1.9318516526         0.5176380902         1.23e-32            
376        1.9318516526         0.5176380902         1.23e-32            
377        1.9318516526         0.5176380902         1.23e-32            
378        1.9318516526         0.5176380902         1.23e-32            
379        1.9318516526         0.5176380902         1.23e-32            
380        1.9318516526         0.5176380902         1.23e-32            
381        1.9318516526         0.5176380902         1.23e-32            
382        1.9318516526         0.5176380902         1.23e-32            
383        1.9318516526         0.5176380902         1.23e-32            
384        1.9318516526         0.5176380902         1.23e-32            
385        1.9318516526         0.5176380902         1.23e-32            
386        1.9318516526         0.5176380902         1.23e-32            
387        1.9318516526         0.5176380902         1.23e-32            
388        1.9318516526         0.5176380902         1.23e-32            
389        1.9318516526         0.5176380902         1.23e-32            
390        1.9318516526         0.5176380902         1.23e-32            
391        1.9318516526         0.5176380902         1.23e-32            
392        1.9318516526         0.5176380902         1.23e-32            
393        1.9318516526         0.5176380902         1.23e-32            
394        1.9318516526         0.5176380902         1.23e-32            
395        1.9318516526         0.5176380902         1.23e-32            
396        1.9318516526         0.5176380902         1.23e-32            
397        1.9318516526         0.5176380902         1.23e-32            
398        1.9318516526         0.5176380902         1.23e-32            
399        1.9318516526         0.5176380902         1.23e-32            
400        1.9318516526         0.5176380902         1.23e-32            
401        1.9318516526         0.5176380902         1.23e-32            
402        1.9318516526         0.5176380902         1.23e-32            
403        1.9318516526         0.5176380902         1.23e-32            
404        1.9318516526         0.5176380902         1.23e-32            
405        1.9318516526         0.5176380902         1.23e-32            
406        1.9318516526         0.5176380902         1.23e-32            
407        1.9318516526         0.5176380902         1.23e-32            
408        1.9318516526         0.5176380902         1.23e-32            
409        1.9318516526         0.5176380902         1.23e-32            
410        1.9318516526         0.5176380902         1.23e-32            
411        1.9318516526         0.5176380902         1.23e-32            
412        1.9318516526         0.5176380902         1.23e-32            
413        1.9318516526         0.5176380902         1.23e-32            
414        1.9318516526         0.5176380902         1.23e-32            
415        1.9318516526         0.5176380902         1.23e-32            
416        1.9318516526         0.5176380902         1.23e-32            
417        1.9318516526         0.5176380902         1.23e-32            
418        1.9318516526         0.5176380902         1.23e-32            
419        1.9318516526         0.5176380902         1.23e-32            
420        1.9318516526         0.5176380902         1.23e-32            
421        1.9318516526         0.5176380902         1.23e-32            
422        1.9318516526         0.5176380902         1.23e-32            
423        1.9318516526         0.5176380902         1.23e-32            
424        1.9318516526         0.5176380902         1.23e-32            
425        1.9318516526         0.5176380902         1.23e-32            
426        1.9318516526         0.5176380902         1.23e-32            
427        1.9318516526         0.5176380902         1.23e-32            
428        1.9318516526         0.5176380902         1.23e-32            
429        1.9318516526         0.5176380902         1.23e-32            
430        1.9318516526         0.5176380902         1.23e-32            
431        1.9318516526         0.5176380902         1.23e-32            
432        1.9318516526         0.5176380902         1.23e-32            
433        1.9318516526         0.5176380902         1.23e-32            
434        1.9318516526         0.5176380902         1.23e-32            
435        1.9318516526         0.5176380902         1.23e-32            
436        1.9318516526         0.5176380902         1.23e-32            
437        1.9318516526         0.5176380902         1.23e-32            
438        1.9318516526         0.5176380902         1.23e-32            
439        1.9318516526         0.5176380902         1.23e-32            
440        1.9318516526         0.5176380902         1.23e-32            
441        1.9318516526         0.5176380902         1.23e-32            
442        1.9318516526         0.5176380902         1.23e-32            
443        1.9318516526         0.5176380902         1.23e-32            
444        1.9318516526         0.5176380902         1.23e-32            
445        1.9318516526         0.5176380902         1.23e-32            
446        1.9318516526         0.5176380902         1.23e-32            
447        1.9318516526         0.5176380902         1.23e-32            
448        1.9318516526         0.5176380902         1.23e-32            
449        1.9318516526         0.5176380902         1.23e-32            
450        1.9318516526         0.5176380902         1.23e-32            
451        1.9318516526         0.5176380902         1.23e-32            
452        1.9318516526         0.5176380902         1.23e-32            
453        1.9318516526         0.5176380902         1.23e-32            
454        1.9318516526         0.5176380902         1.23e-32            
455        1.9318516526         0.5176380902         1.23e-32            
456        1.9318516526         0.5176380902         1.23e-32            
457        1.9318516526         0.5176380902         1.23e-32            
458        1.9318516526         0.5176380902         1.23e-32            
459        1.9318516526         0.5176380902         1.23e-32            
460        1.9318516526         0.5176380902         1.23e-32            
461        1.9318516526         0.5176380902         1.23e-32            
462        1.9318516526         0.5176380902         1.23e-32            
463        1.9318516526         0.5176380902         1.23e-32            
464        1.9318516526         0.5176380902         1.23e-32            
465        1.9318516526         0.5176380902         1.23e-32            
466        1.9318516526         0.5176380902         1.23e-32            
467        1.9318516526         0.5176380902         1.23e-32            
468        1.9318516526         0.5176380902         1.23e-32            
469        1.9318516526         0.5176380902         1.23e-32            
470        1.9318516526         0.5176380902         1.23e-32            
471        1.9318516526         0.5176380902         1.23e-32            
472        1.9318516526         0.5176380902         1.23e-32            
473        1.9318516526         0.5176380902         1.23e-32            
474        1.9318516526         0.5176380902         1.23e-32            
475        1.9318516526         0.5176380902         1.23e-32            
476        1.9318516526         0.5176380902         1.23e-32            
477        1.9318516526         0.5176380902         1.23e-32            
478        1.9318516526         0.5176380902         1.23e-32            
479        1.9318516526         0.5176380902         1.23e-32            
480        1.9318516526         0.5176380902         1.23e-32            
481        1.9318516526         0.5176380902         1.23e-32            
482        1.9318516526         0.5176380902         1.23e-32            
483        1.9318516526         0.5176380902         1.23e-32            
484        1.9318516526         0.5176380902         1.23e-32            
485        1.9318516526         0.5176380902         1.23e-32            
486        1.9318516526         0.5176380902         1.23e-32            
487        1.9318516526         0.5176380902         1.23e-32            
488        1.9318516526         0.5176380902         1.23e-32            
489        1.9318516526         0.5176380902         1.23e-32            
490        1.9318516526         0.5176380902         1.23e-32            
491        1.9318516526         0.5176380902         1.23e-32            
492        1.9318516526         0.5176380902         1.23e-32            
493        1.9318516526         0.5176380902         1.23e-32            
494        1.9318516526         0.5176380902         1.23e-32            
495        1.9318516526         0.5176380902         1.23e-32            
496        1.9318516526         0.5176380902         1.23e-32            
497        1.9318516526         0.5176380902         1.23e-32            
498        1.9318516526         0.5176380902         1.23e-32            
499        1.9318516526         0.5176380902         1.23e-32            
500        1.9318516526         0.5176380902         1.23e-32            
501        1.9318516526         0.5176380902         1.23e-32            
502        1.9318516526         0.5176380902         1.23e-32            
503        1.9318516526         0.5176380902         1.23e-32            
504        1.9318516526         0.5176380902         1.23e-32            
505        1.9318516526         0.5176380902         1.23e-32            
506        1.9318516526         0.5176380902         1.23e-32            
507        1.9318516526         0.5176380902         1.23e-32            
508        1.9318516526         0.5176380902         1.23e-32            
509        1.9318516526         0.5176380902         1.23e-32            
510        1.9318516526         0.5176380902         1.23e-32            
511        1.9318516526         0.5176380902         1.23e-32            
512        1.9318516526         0.5176380902         1.23e-32            
513        1.9318516526         0.5176380902         1.23e-32            
514        1.9318516526         0.5176380902         1.23e-32            
515        1.9318516526         0.5176380902         1.23e-32            
516        1.9318516526         0.5176380902         1.23e-32            
517        1.9318516526         0.5176380902         1.23e-32            
518        1.9318516526         0.5176380902         1.23e-32            
519        1.9318516526         0.5176380902         1.23e-32            
520        1.9318516526         0.5176380902         1.23e-32            
521        1.9318516526         0.5176380902         1.23e-32            
522        1.9318516526         0.5176380902         1.23e-32            
523        1.9318516526         0.5176380902         1.23e-32            
524        1.9318516526         0.5176380902         1.23e-32            
525        1.9318516526         0.5176380902         1.23e-32            
526        1.9318516526         0.5176380902         1.23e-32            
527        1.9318516526         0.5176380902         1.23e-32            
528        1.9318516526         0.5176380902         1.23e-32            
529        1.9318516526         0.5176380902         1.23e-32            
